time	V(6)
2.828217922059477e-003	-9.751343e+000
2.847749172059477e-003	-9.056904e+000
2.867280422059476e-003	-8.226316e+000
2.886811672059476e-003	-7.272083e+000
2.906342922059475e-003	-6.208565e+000
2.925874172059475e-003	-5.051778e+000
2.945405422059475e-003	-3.819163e+000
2.955171047059474e-003	-3.180210e+000
2.964936672059474e-003	-2.529394e+000
2.974702297059474e-003	-1.869279e+000
2.984467922059474e-003	-1.202747e+000
2.994233547059474e-003	-5.351818e-001
3.000879840632444e-003	-8.251610e-002
3.010632246100333e-003	5.900208e-001
3.015373498728539e-003	9.236678e-001
3.020568888887595e-003	1.285891e+000
3.026664202004991e-003	1.702914e+000
3.036429827004990e-003	2.365537e+000
3.046195452004990e-003	3.019448e+000
3.065726702004990e-003	4.290304e+000
3.075492327004990e-003	4.902594e+000
3.085257952004989e-003	5.496388e+000
3.095023577004989e-003	6.069459e+000
3.104789202004989e-003	6.619655e+000
3.114554827004989e-003	7.144907e+000
3.124320452004988e-003	7.643241e+000
3.134086077004988e-003	8.112783e+000
3.143851702004988e-003	8.551765e+000
3.153617327004988e-003	8.958537e+000
3.163382952004988e-003	9.331569e+000
3.173148577004987e-003	9.669456e+000
3.182914202004987e-003	9.970928e+000
3.192679827004987e-003	1.023485e+001
3.202445452004987e-003	1.046023e+001
3.212211077004987e-003	1.064622e+001
3.221976702004986e-003	1.079212e+001
3.231742327004986e-003	1.089739e+001
3.241507952004986e-003	1.096162e+001
3.251273577004986e-003	1.098458e+001
3.261039202004986e-003	1.096618e+001
3.270804827004985e-003	1.090650e+001
3.280570452004985e-003	1.080575e+001
3.290336077004985e-003	1.066432e+001
3.300101702004985e-003	1.048273e+001
3.309867327004985e-003	1.026169e+001
3.319632952004984e-003	1.000201e+001
3.329398577004984e-003	9.704671e+000
3.339164202004984e-003	9.370800e+000
3.348929827004984e-003	9.001652e+000
3.358695452004983e-003	8.598615e+000
3.368461077004983e-003	8.163206e+000
3.378226702004983e-003	7.697067e+000
3.387992327004983e-003	7.201950e+000
3.397757952004983e-003	6.679721e+000
3.407523577004982e-003	6.132347e+000
3.417289202004982e-003	5.561889e+000
3.427054827004982e-003	4.970500e+000
3.436820452004982e-003	4.360410e+000
3.456351702004981e-003	3.093428e+000
3.466117327004981e-003	2.441370e+000
3.475882952004981e-003	1.780339e+000
3.485648577004981e-003	1.113325e+000
3.495414202004981e-003	4.478585e-001
3.501958763901017e-003	4.286802e-003
3.508142771329188e-003	-4.239517e-001
3.512446044180963e-003	-7.286768e-001
3.517204118422496e-003	-1.061569e+000
3.522152983622622e-003	-1.401860e+000
3.531918608622622e-003	-2.067936e+000
3.541684233622622e-003	-2.726355e+000
3.561215483622621e-003	-4.009522e+000
3.580746733622621e-003	-5.232191e+000
3.600277983622620e-003	-6.376142e+000
3.619809233622620e-003	-7.424204e+000
3.639340483622619e-003	-8.360630e+000
3.658871733622619e-003	-9.171345e+000
3.678402983622619e-003	-9.844161e+000
3.697934233622618e-003	-1.036897e+001
3.717465483622618e-003	-1.073787e+001
3.736996733622617e-003	-1.094533e+001
3.756527983622617e-003	-1.098822e+001
3.776059233622617e-003	-1.086590e+001
3.795590483622616e-003	-1.058021e+001
3.815121733622616e-003	-1.013543e+001
3.834652983622615e-003	-9.538268e+000
3.854184233622615e-003	-8.797713e+000
3.873715483622614e-003	-7.924911e+000
3.893246733622614e-003	-6.932999e+000
3.912777983622614e-003	-5.836908e+000
3.932309233622614e-003	-4.653148e+000
3.951840483622613e-003	-3.399582e+000
3.961606108622613e-003	-2.752532e+000
3.971371733622613e-003	-2.095281e+000
3.981137358622613e-003	-1.430561e+000
3.990902983622612e-003	-7.628524e-001
4.000668608622612e-003	-9.687191e-002
4.010434233622612e-003	5.761407e-001
4.015651827022700e-003	9.431483e-001
4.020863998218572e-003	1.306389e+000
4.027057241839323e-003	1.729720e+000
4.036822866839322e-003	2.392053e+000
4.046588491839322e-003	3.045537e+000
4.066119741839322e-003	4.315275e+000
4.075885366839322e-003	4.926865e+000
4.085650991839321e-003	5.519867e+000
4.095416616839321e-003	6.092059e+000
4.105182241839321e-003	6.641290e+000
4.114947866839321e-003	7.165497e+000
4.124713491839321e-003	7.662707e+000
4.134479116839320e-003	8.131052e+000
4.144244741839320e-003	8.568769e+000
4.154010366839320e-003	8.974213e+000
4.163775991839320e-003	9.345856e+000
4.173541616839319e-003	9.682301e+000
4.183307241839319e-003	9.982283e+000
4.193072866839319e-003	1.024467e+001
4.202838491839319e-003	1.046848e+001
4.212604116839319e-003	1.065287e+001
4.222369741839318e-003	1.079715e+001
4.232135366839318e-003	1.090077e+001
4.241900991839318e-003	1.096335e+001
4.251666616839318e-003	1.098464e+001
4.261432241839318e-003	1.096458e+001
4.271197866839317e-003	1.090323e+001
4.280963491839317e-003	1.080084e+001
4.290729116839317e-003	1.065778e+001
4.300494741839317e-003	1.047459e+001
4.310260366839317e-003	1.025198e+001
4.320025991839316e-003	9.990759e+000
4.329791616839316e-003	9.691931e+000
4.339557241839316e-003	9.356616e+000
4.349322866839316e-003	8.986075e+000
4.359088491839316e-003	8.581705e+000
4.368854116839315e-003	8.145028e+000
4.378619741839315e-003	7.677687e+000
4.388385366839315e-003	7.181442e+000
4.398150991839315e-003	6.658163e+000
4.407916616839314e-003	6.109819e+000
4.417682241839314e-003	5.538477e+000
4.427447866839314e-003	4.946291e+000
4.437213491839314e-003	4.335496e+000
4.456744741839313e-003	3.067391e+000
4.466510366839313e-003	2.414920e+000
4.476275991839313e-003	1.753586e+000
4.486041616839313e-003	1.086416e+000
4.495807241839313e-003	4.221759e-001
4.502608814163492e-003	-3.835588e-002
4.507467308389434e-003	-3.765984e-001
4.512740008851487e-003	-7.502083e-001
4.518067098882454e-003	-1.121203e+000
4.523033165001149e-003	-1.462244e+000
4.532798790001149e-003	-2.127653e+000
4.542564415001149e-003	-2.785219e+000
4.562095665001148e-003	-4.066062e+000
4.581626915001148e-003	-5.285570e+000
4.601158165001148e-003	-6.425560e+000
4.620689415001147e-003	-7.468918e+000
4.640220665001147e-003	-8.399969e+000
4.659751915001146e-003	-9.204717e+000
4.679283165001146e-003	-9.871063e+000
4.698814415001145e-003	-1.038899e+001
4.718345665001145e-003	-1.075073e+001
4.737876915001145e-003	-1.095082e+001
4.757408165001144e-003	-1.098626e+001
4.776939415001144e-003	-1.085652e+001
4.796470665001143e-003	-1.056354e+001
4.816001915001143e-003	-1.011174e+001
4.835533165001143e-003	-9.507904e+000
4.855064415001142e-003	-8.761134e+000
4.874595665001142e-003	-7.882668e+000
4.894126915001141e-003	-6.885727e+000
4.913658165001141e-003	-5.785319e+000
4.933189415001140e-003	-4.598019e+000
4.952720665001140e-003	-3.341747e+000
4.962486290001140e-003	-2.693673e+000
4.972251915001140e-003	-2.035631e+000
4.982017540001139e-003	-1.370389e+000
4.991783165001139e-003	-7.033306e-001
5.001548790001139e-003	-3.693718e-002
5.010947953273955e-003	6.132045e-001
5.016839788511992e-003	1.026423e+000
5.022503959684564e-003	1.418979e+000
5.028937736873942e-003	1.857962e+000
5.038703361873942e-003	2.518688e+000
5.048468986873942e-003	3.170106e+000
5.068000236873941e-003	4.434383e+000
5.077765861873941e-003	5.042570e+000
5.087531486873941e-003	5.631736e+000
5.097297111873940e-003	6.199671e+000
5.107062736873940e-003	6.744241e+000
5.116828361873940e-003	7.263399e+000
5.126593986873940e-003	7.755193e+000
5.136359611873940e-003	8.217773e+000
5.146125236873939e-003	8.649401e+000
5.155890861873939e-003	9.048450e+000
5.165656486873939e-003	9.413420e+000
5.175422111873939e-003	9.742937e+000
5.185187736873939e-003	1.003576e+001
