time	V(3)	V(6)
1.623112414545106e-003	-6.987348e-001	-7.590826e+000
1.642643664545106e-003	-7.809898e-001	-8.506931e+000
1.662174914545106e-003	-8.515099e-001	-9.295126e+000
1.681706164545106e-003	-9.092345e-001	-9.943562e+000
1.701237414545106e-003	-9.532952e-001	-1.044249e+001
1.720768664545106e-003	-9.830295e-001	-1.078442e+001
1.740299914545106e-003	-9.979900e-001	-1.096420e+001
1.759831164545106e-003	-9.979517e-001	-1.097913e+001
1.779362414545106e-003	-9.829153e-001	-1.082898e+001
1.798893664545106e-003	-9.531068e-001	-1.051601e+001
1.818424914545106e-003	-9.089746e-001	-1.004492e+001
1.837956164545106e-003	-8.511825e-001	-9.422819e+000
1.857487414545106e-003	-7.805997e-001	-8.659059e+000
1.877018664545106e-003	-6.982880e-001	-7.765138e+000
1.896549914545106e-003	-6.054853e-001	-6.754511e+000
1.916081164545106e-003	-5.035874e-001	-5.642394e+000
1.935612414545106e-003	-3.941272e-001	-4.445539e+000
1.955143664545106e-003	-2.787509e-001	-3.182019e+000
1.964909289545106e-003	-2.193838e-001	-2.531233e+000
1.974674914545106e-003	-1.591942e-001	-1.871140e+000
1.984440539545106e-003	-9.840876e-002	-1.204621e+000
1.994206164545106e-003	-3.726511e-002	-5.370241e-001
2.000853712566055e-003	4.455184e-003	-8.427674e-002
2.010619337566055e-003	6.574916e-002	5.889362e-001
2.014988143552843e-003	9.311536e-002	8.964648e-001
2.020291861199718e-003	1.262195e-001	1.266685e+000
2.026224342286881e-003	1.630374e-001	1.672896e+000
2.035989967286881e-003	2.231079e-001	2.335848e+000
2.045755592286880e-003	2.823915e-001	2.990227e+000
2.065286842286880e-003	3.975416e-001	4.262327e+000
2.075052467286880e-003	4.529749e-001	4.875396e+000
2.084818092286880e-003	5.067004e-001	5.470072e+000
2.094583717286879e-003	5.585157e-001	6.044124e+000
2.104349342286879e-003	6.082258e-001	6.595395e+000
2.114114967286879e-003	6.556438e-001	7.121814e+000
2.123880592286879e-003	7.005911e-001	7.621401e+000
2.133646217286879e-003	7.428985e-001	8.092278e+000
2.143411842286878e-003	7.824069e-001	8.532673e+000
2.153177467286878e-003	8.189674e-001	8.940930e+000
2.162943092286878e-003	8.524426e-001	9.315513e+000
2.172708717286878e-003	8.827063e-001	9.655011e+000
2.182474342286877e-003	9.096448e-001	9.958149e+000
2.192239967286877e-003	9.331566e-001	1.022379e+001
2.202005592286877e-003	9.531533e-001	1.045092e+001
2.211771217286877e-003	9.695594e-001	1.063870e+001
2.221536842286877e-003	9.823134e-001	1.078642e+001
2.231302467286876e-003	9.913672e-001	1.089353e+001
2.241068092286876e-003	9.966868e-001	1.095962e+001
2.250833717286876e-003	9.982520e-001	1.098444e+001
2.260599342286876e-003	9.960571e-001	1.096790e+001
2.270364967286876e-003	9.901102e-001	1.091007e+001
2.280130592286875e-003	9.804339e-001	1.081116e+001
2.289896217286875e-003	9.670644e-001	1.067155e+001
2.299661842286875e-003	9.500521e-001	1.049177e+001
2.309427467286875e-003	9.294610e-001	1.027248e+001
2.319193092286875e-003	9.053687e-001	1.001452e+001
2.328958717286874e-003	8.778657e-001	9.718858e+000
2.338724342286874e-003	8.470557e-001	9.386607e+000
2.348489967286874e-003	8.130547e-001	9.019018e+000
2.358255592286874e-003	7.759904e-001	8.617476e+000
2.368021217286874e-003	7.360026e-001	8.183492e+000
2.377786842286873e-003	6.932415e-001	7.718699e+000
2.387552467286873e-003	6.478683e-001	7.224848e+000
2.397318092286873e-003	6.000537e-001	6.703799e+000
2.407083717286873e-003	5.499777e-001	6.157514e+000
2.416849342286873e-003	4.978287e-001	5.588050e+000
2.426614967286872e-003	4.438030e-001	4.997556e+000
2.436380592286872e-003	3.881039e-001	4.388259e+000
2.455911842286872e-003	2.725299e-001	3.122544e+000
2.465677467286871e-003	2.130900e-001	2.470953e+000
2.475443092286871e-003	1.528452e-001	1.810268e+000
2.485208717286871e-003	9.202262e-002	1.143438e+000
2.494974342286871e-003	3.085968e-002	4.770749e-001
2.501527761392956e-003	-1.027531e-002	3.151626e-002
2.509799495524215e-003	-6.219690e-002	-5.403794e-001
2.514508015546517e-003	-9.169713e-002	-8.719890e-001
2.519786620083351e-003	-1.246586e-001	-1.239719e+000
2.525483547059484e-003	-1.600359e-001	-1.630000e+000
2.535249172059483e-003	-2.201593e-001	-2.293519e+000
2.545014797059483e-003	-2.795147e-001	-2.948653e+000
2.564546047059483e-003	-3.948585e-001	-4.222804e+000
2.584077297059482e-003	-5.042751e-001	-5.433319e+000
2.603608547059482e-003	-6.061187e-001	-6.562098e+000
2.623139797059481e-003	-6.988577e-001	-7.592194e+000
2.642671047059481e-003	-7.810972e-001	-8.508129e+000
2.652436672059481e-003	-8.178863e-001	-8.918911e+000
2.671967922059480e-003	-8.821115e-001	-9.638384e+000
2.691499172059480e-003	-9.330810e-001	-1.021294e+001
2.711030422059480e-003	-9.700280e-001	-1.063394e+001
2.730561672059479e-003	-9.923968e-001	-1.089505e+001
2.750092922059479e-003	-9.998509e-001	-1.099236e+001
2.769624172059478e-003	-9.922783e-001	-1.092439e+001
2.789155422059478e-003	-9.697928e-001	-1.069217e+001
2.808686672059477e-003	-9.327326e-001	-1.029918e+001
2.828217922059477e-003	-8.816553e-001	-9.751343e+000
2.847749172059477e-003	-8.173289e-001	-9.056904e+000
2.867280422059476e-003	-7.407210e-001	-8.226316e+000
2.886811672059476e-003	-6.529840e-001	-7.272083e+000
2.906342922059475e-003	-5.554374e-001	-6.208565e+000
2.925874172059475e-003	-4.495485e-001	-5.051778e+000
2.945405422059475e-003	-3.369100e-001	-3.819163e+000
2.955171047059474e-003	-2.785858e-001	-3.180210e+000
2.964936672059474e-003	-2.192161e-001	-2.529394e+000
2.974702297059474e-003	-1.590245e-001	-1.869279e+000
2.984467922059474e-003	-9.823770e-002	-1.202747e+000
2.994233547059474e-003	-3.709333e-002	-5.351818e-001
3.000879840632444e-003	4.619240e-003	-8.251610e-002
3.010632246100333e-003	6.582785e-002	5.900208e-001
3.015373498728539e-003	9.552433e-002	9.236678e-001
3.020568888887595e-003	1.279450e-001	1.285891e+000
3.026664202004991e-003	1.657591e-001	1.702914e+000
3.036429827004990e-003	2.257980e-001	2.365537e+000
3.046195452004990e-003	2.850383e-001	3.019448e+000
