Freq.	V(o)
Step Information: Sim=1  (Run: 1/4)
7.94328234724291e+001	(-4.79922909156616e+001dB,8.63447026668611e+001°)
8.03526122185627e+001	(-4.78927020652976e+001dB,8.63024930663814e+001°)
8.12830516164109e+001	(-4.77931227515485e+001dB,8.62597987906433e+001°)
8.22242649947081e+001	(-4.76935531946598e+001dB,8.62166143702437e+001°)
8.31763771102681e+001	(-4.75939936199189e+001dB,8.61729342774195e+001°)
8.41395141645205e+001	(-4.74944442577679e+001dB,8.61287529255434e+001°)
8.51138038202387e+001	(-4.73949053439199e+001dB,8.60840646686204e+001°)
8.60993752184611e+001	(-4.72953771194769e+001dB,8.60388638007838e+001°)
8.70963589956091e+001	(-4.71958598310504e+001dB,8.59931445557923e+001°)
8.81048873008025e+001	(-4.70963537308854e+001dB,8.59469011065273e+001°)
8.91250938133757e+001	(-4.69968590769858e+001dB,8.59001275644915e+001°)
9.01571137605968e+001	(-4.68973761332435e+001dB,8.58528179793084e+001°)
9.12010839355921e+001	(-4.67979051695699e+001dB,8.58049663382228e+001°)
9.22571427154775e+001	(-4.66984464620298e+001dB,8.57565665656037e+001°)
