time	V(6)	V(n006)
Step Information: Vdc=-500m  (Run: 1/3)
2.072211479598401e-003	-8.049872e-001	-6.210195e-002
2.081977104598401e-003	-2.132125e-001	-7.726133e-003
2.088965123323541e-003	2.000905e-001	3.019250e-002
2.092640374370976e-003	4.218203e-001	4.967026e-002
2.097118268773088e-003	6.884091e-001	7.289132e-002
2.103015084313469e-003	1.022351e+000	1.027621e-001
2.109921290189086e-003	1.399078e+000	1.366158e-001
2.119686915189086e-003	1.909209e+000	1.824690e-001
2.129452540189086e-003	2.392962e+000	2.259259e-001
2.139218165189086e-003	2.846850e+000	2.666506e-001
2.148983790189085e-003	3.269240e+000	3.044898e-001
2.158749415189085e-003	3.658549e+000	3.393011e-001
2.168515040189085e-003	4.013347e+000	3.709534e-001
2.178280665189085e-003	4.332299e+000	3.993277e-001
2.188046290189085e-003	4.614214e+000	4.243171e-001
2.197811915189084e-003	4.858032e+000	4.458275e-001
2.207577540189084e-003	5.062840e+000	4.637781e-001
2.217343165189084e-003	5.227868e+000	4.781013e-001
2.227108790189084e-003	5.352498e+000	4.887431e-001
2.236874415189083e-003	5.436262e+000	4.956635e-001
2.246640040189083e-003	5.478848e+000	4.988364e-001
2.256405665189083e-003	5.480095e+000	4.982500e-001
2.266171290189083e-003	5.440001e+000	4.939063e-001
2.275936915189083e-003	5.358720e+000	4.858218e-001
2.285702540189082e-003	5.236557e+000	4.740270e-001
2.295468165189082e-003	5.073975e+000	4.585661e-001
2.305233790189082e-003	4.871587e+000	4.394973e-001
2.314999415189082e-003	4.630157e+000	4.168925e-001
2.324765040189082e-003	4.350597e+000	3.908367e-001
2.334530665189081e-003	4.033962e+000	3.614281e-001
2.344296290189081e-003	3.681448e+000	3.287772e-001
2.354061915189081e-003	3.294389e+000	2.930070e-001
2.363827540189081e-003	2.874254e+000	2.542520e-001
2.373593165189081e-003	2.422646e+000	2.126583e-001
2.383358790189080e-003	1.941311e+000	1.683822e-001
2.393124415189080e-003	1.432203e+000	1.215905e-001
2.402890040189080e-003	8.977960e-001	7.245933e-002
2.412655665189080e-003	3.475972e-001	2.131705e-002
2.419496661378546e-003	-4.764592e-002	-1.563546e-002
2.424293042647120e-003	-3.405018e-001	-4.218255e-002
2.430147329366703e-003	-7.112797e-001	-7.518812e-002
2.435413809044212e-003	-1.044791e+000	-1.053528e-001
2.440935221562445e-003	-1.397686e+000	-1.375338e-001
2.450700846562444e-003	-2.033071e+000	-1.954608e-001
2.460466471562444e-003	-2.679346e+000	-2.543814e-001
2.479997721562444e-003	-4.000916e+000	-3.747705e-001
2.499528971562443e-003	-5.344871e+000	-4.970432e-001
2.519060221562443e-003	-6.691142e+000	-6.193604e-001
2.538591471562443e-003	-8.019516e+000	-7.398823e-001
2.558122721562442e-003	-9.310020e+000	-8.567961e-001
2.577653971562442e-003	-1.054324e+001	-9.683435e-001
2.597185221562441e-003	-1.170059e+001	-1.072846e+000
2.606950846562441e-003	-1.224529e+001	-1.121960e+000
2.616716471562441e-003	-1.275982e+001	-1.168733e+000
2.626482096562441e-003	-1.321707e+001	-1.213498e+000
2.628892482665000e-003	-1.328398e+001	-1.224157e+000
2.630636852090019e-003	-1.329813e+001	-1.231693e+000
2.631352370620365e-003	-1.330067e+001	-1.234754e+000
2.632298262703977e-003	-1.330361e+001	-1.238770e+000
2.633331458998443e-003	-1.330612e+001	-1.243128e+000
2.634465356556419e-003	-1.330837e+001	-1.247866e+000
2.636733151672370e-003	-1.331188e+001	-1.257223e+000
2.639398710962965e-003	-1.331489e+001	-1.268010e+000
2.643824869490795e-003	-1.331824e+001	-1.285459e+000
2.648178406426524e-003	-1.332031e+001	-1.301974e+000
2.655765459075763e-003	-1.332236e+001	-1.329254e+000
2.664137710535507e-003	-1.332360e+001	-1.357278e+000
2.673903335535507e-003	-1.332429e+001	-1.387022e+000
2.683668960535506e-003	-1.332464e+001	-1.413541e+000
2.693434585535506e-003	-1.332483e+001	-1.436621e+000
2.703200210535506e-003	-1.332493e+001	-1.456177e+000
2.712965835535506e-003	-1.332499e+001	-1.472133e+000
2.722731460535506e-003	-1.332503e+001	-1.484431e+000
2.732497085535505e-003	-1.332504e+001	-1.493024e+000
2.742262710535505e-003	-1.332505e+001	-1.497879e+000
2.752028335535505e-003	-1.332505e+001	-1.498978e+000
2.761793960535505e-003	-1.332505e+001	-1.496317e+000
2.771559585535505e-003	-1.332504e+001	-1.489907e+000
2.781325210535504e-003	-1.332502e+001	-1.479770e+000
2.791090835535504e-003	-1.332498e+001	-1.465946e+000
2.800856460535504e-003	-1.332490e+001	-1.448487e+000
2.810622085535504e-003	-1.332477e+001	-1.427457e+000
2.820387710535503e-003	-1.332452e+001	-1.402937e+000
2.830153335535503e-003	-1.332403e+001	-1.375018e+000
2.839918960535503e-003	-1.332301e+001	-1.343806e+000
2.849684585535503e-003	-1.332059e+001	-1.309418e+000
2.859450210535503e-003	-1.331361e+001	-1.271984e+000
2.869215835535502e-003	-1.329617e+001	-1.232076e+000
2.872804547301994e-003	-1.327862e+001	-1.216729e+000
2.875331109025724e-003	-1.324981e+001	-1.205599e+000
2.877341376566355e-003	-1.320525e+001	-1.196597e+000
2.879594378933988e-003	-1.312682e+001	-1.186365e+000
2.882052367667492e-003	-1.301792e+001	-1.175051e+000
2.884433871195323e-003	-1.290066e+001	-1.163936e+000
2.886983480640920e-003	-1.276974e+001	-1.151847e+000
2.907091921177586e-003	-1.166704e+001	-1.050735e+000
2.926623171177585e-003	-1.050577e+001	-9.444613e-001
2.946154421177585e-003	-9.270356e+000	-8.315921e-001
2.965685671177585e-003	-7.978342e+000	-7.137355e-001
2.985216921177584e-003	-6.649153e+000	-5.926641e-001
3.004748171177584e-003	-5.302790e+000	-4.701989e-001
3.024279421177583e-003	-3.959536e+000	-3.481819e-001
3.034045046177583e-003	-3.295423e+000	-2.879160e-001
3.043810671177583e-003	-2.639694e+000	-2.284484e-001
3.053576296177583e-003	-1.994879e+000	-1.700029e-001
3.063341921177582e-003	-1.363625e+000	-1.127993e-001
3.073107546177582e-003	-7.496033e-001	-5.705316e-002
3.082873171177582e-003	-1.586857e-001	-2.974126e-003
3.092638796177582e-003	4.192035e-001	4.952418e-002
3.097004973559549e-003	6.780881e-001	7.232539e-002
3.102354910688281e-003	9.861655e-001	9.949707e-002
3.108465943789108e-003	1.320912e+000	1.295932e-001
3.118231568789108e-003	1.834656e+000	1.757687e-001
3.127997193789108e-003	2.322717e+000	2.196190e-001
3.137762818789107e-003	2.781169e+000	2.607609e-001
3.147528443789107e-003	3.208354e+000	2.990394e-001
3.157294068789107e-003	3.602685e+000	3.343105e-001
3.167059693789107e-003	3.962714e+000	3.664415e-001
3.176825318789107e-003	4.287088e+000	3.953113e-001
3.186590943789106e-003	4.574593e+000	4.208114e-001
3.196356568789106e-003	4.824150e+000	4.428458e-001
3.206122193789106e-003	5.034823e+000	4.613315e-001
3.215887818789106e-003	5.205822e+000	4.761990e-001
3.225653443789106e-003	5.336506e+000	4.873923e-001
3.235419068789105e-003	5.426384e+000	4.948693e-001
3.245184693789105e-003	5.475121e+000	4.986018e-001
3.254950318789105e-003	5.482533e+000	4.985758e-001
3.264715943789105e-003	5.448594e+000	4.947914e-001
3.274481568789105e-003	5.373435e+000	4.872628e-001
3.284247193789104e-003	5.257339e+000	4.760184e-001
3.294012818789104e-003	5.100744e+000	4.611005e-001
3.303778443789104e-003	4.904244e+000	4.425652e-001
3.313544068789104e-003	4.668579e+000	4.204823e-001
3.323309693789103e-003	4.394638e+000	3.949349e-001
3.333075318789103e-003	4.083455e+000	3.660192e-001
3.342840943789103e-003	3.736207e+000	3.338440e-001
3.352606568789103e-003	3.354206e+000	2.985304e-001
3.362372193789103e-003	2.938902e+000	2.602113e-001
3.372137818789102e-003	2.491877e+000	2.190309e-001
3.381903443789102e-003	2.014855e+000	1.751442e-001
3.391669068789102e-003	1.509752e+000	1.287165e-001
3.401434693789102e-003	9.788926e-001	7.992244e-002
3.411200318789102e-003	4.293299e-001	2.909056e-002
3.418058296987953e-003	3.177904e-002	-7.883431e-003
3.426885656304195e-003	-5.032211e-001	-5.679044e-002
3.431794510688268e-003	-8.132702e-001	-8.456207e-002
3.437394125335922e-003	-1.170833e+000	-1.168313e-001
3.443511841848977e-003	-1.563809e+000	-1.526801e-001
3.453277466848976e-003	-2.202440e+000	-2.109045e-001
3.463043091848976e-003	-2.851721e+000	-2.700906e-001
3.482574341848976e-003	-4.177358e+000	-3.908328e-001
3.502105591848975e-003	-5.522779e+000	-5.132170e-001
3.521636841848975e-003	-6.867845e+000	-6.354024e-001
3.541168091848975e-003	-8.192358e+000	-7.555512e-001
3.560699341848974e-003	-9.476402e+000	-8.718563e-001
3.580230591848974e-003	-1.070066e+001	-9.825683e-001
3.599761841848973e-003	-1.184667e+001	-1.086022e+000
3.609527466848973e-003	-1.238485e+001	-1.134536e+000
3.619293091848973e-003	-1.289937e+001	-1.180931e+000
3.625000163900695e-003	-1.317452e+001	-1.207005e+000
3.627595838087631e-003	-1.326850e+001	-1.218526e+000
