time	V(file_1)	V(file_1)-V(wh_2)	V(wh_2)
4.656008836752386e-002	-6.349235e-001	-3.938140e-001	-2.411095e-001
4.700000000000000e-002	-1.102792e+000	-6.969571e-001	-4.058349e-001
4.706401009914558e-002	-9.656721e-001	-5.641755e-001	-4.014966e-001
4.719203029743675e-002	-6.914322e-001	-3.098068e-001	-3.816254e-001
4.796015148718376e-002	9.540071e-001	1.166875e+000	-2.128680e-001
4.800000000000000e-002	1.039369e+000	1.247660e+000	-2.082909e-001
4.807969702563249e-002	9.348383e-001	1.120120e+000	-1.852817e-001
4.823909107689746e-002	7.257769e-001	8.116460e-001	-8.586906e-002
4.855787917942740e-002	3.076541e-001	1.367881e-001	1.708660e-001
4.900000000000000e-002	-2.722320e-001	-7.601845e-001	4.879525e-001
4.906375762050599e-002	-2.932447e-001	-7.756636e-001	4.824189e-001
4.919127286151796e-002	-3.352702e-001	-7.923201e-001	4.570499e-001
4.995636430758983e-002	-5.874229e-001	-8.280285e-001	2.406055e-001
5.000000000000000e-002	-6.018040e-001	-8.359016e-001	2.340976e-001
5.100000000000000e-002	-3.224370e-001	-5.579258e-001	2.354888e-001
5.106981710785627e-002	-2.922191e-001	-5.112638e-001	2.190447e-001
5.120945132356881e-002	-2.317833e-001	-3.770593e-001	1.452760e-001
5.148871975499391e-002	-1.109118e-001	-5.702048e-002	-5.389128e-002
5.200000000000000e-002	1.103780e-001	5.111875e-001	-4.008095e-001
5.205585368628501e-002	9.697557e-002	4.959496e-001	-3.989741e-001
5.216756105885505e-002	7.017072e-002	4.605004e-001	-3.903297e-001
5.283780529427528e-002	-9.065840e-002	2.153473e-001	-3.060057e-001
5.300000000000000e-002	-1.295780e-001	1.631061e-001	-2.926841e-001
5.308936589805603e-002	-1.066372e-001	1.837896e-001	-2.904268e-001
5.326809769416809e-002	-6.075545e-002	2.202980e-001	-2.810534e-001
5.362556128639221e-002	3.100796e-002	2.887261e-001	-2.577181e-001
5.400000000000000e-002	1.271290e-001	3.644602e-001	-2.373312e-001
5.407149271844482e-002	1.225006e-001	3.551246e-001	-2.326240e-001
5.421447815533447e-002	1.132439e-001	3.248814e-001	-2.116375e-001
5.450044902911377e-002	9.473043e-002	2.501667e-001	-1.554362e-001
5.500000000000000e-002	6.239000e-002	1.254654e-001	-6.307536e-002
5.505719417475586e-002	6.132590e-002	1.224613e-001	-6.113541e-002
5.517158252426758e-002	5.919771e-002	1.112374e-001	-5.203964e-002
5.540035922329101e-002	5.494132e-002	7.870011e-002	-2.375880e-002
5.585791262133789e-002	4.642854e-002	1.162510e-002	3.480344e-002
5.599999999999999e-002	4.378500e-002	-2.394795e-003	4.617979e-002
5.609151067960937e-002	9.182692e-002	4.696310e-002	4.486382e-002
5.627453203882812e-002	1.879108e-001	1.484612e-001	3.944954e-002
5.664057475726562e-002	3.800784e-001	3.540080e-001	2.607040e-002
5.700000000000000e-002	5.687720e-001	5.534968e-001	1.527521e-002
5.707320854368750e-002	5.299373e-001	5.088579e-001	2.107944e-002
5.721962563106250e-002	4.522681e-001	4.054763e-001	4.679174e-002
