time	V(wh_1)	V(wh_1)-V(wh_2)	V(wh_2)
1.740485759703444e-001	-8.157593e-002	2.567355e-001	-3.383114e-001
1.750485759703444e-001	-3.383114e-001	1.179107e-001	-4.562221e-001
1.760485759703444e-001	-4.562221e-001	-1.403591e-001	-3.158630e-001
1.770485759703444e-001	-3.158630e-001	-2.097726e-001	-1.060905e-001
1.780485759703444e-001	-1.060905e-001	-1.054533e-001	-6.372128e-004
1.790485759703444e-001	-6.372128e-004	-2.017574e-001	2.011201e-001
1.800485759703444e-001	2.011201e-001	-2.045494e-001	4.056696e-001
1.810485759703444e-001	4.056696e-001	5.273110e-002	3.529385e-001
1.820485759703444e-001	3.529385e-001	9.962815e-002	2.533103e-001
1.830485759703444e-001	2.533103e-001	-1.189777e-002	2.652081e-001
1.840485759703444e-001	2.652081e-001	2.036194e-001	6.158867e-002
1.850485759703444e-001	6.158867e-002	2.551099e-001	-1.935212e-001
1.860485759703444e-001	-1.935212e-001	2.618161e-002	-2.197028e-001
1.870485759703444e-001	-2.197028e-001	-1.168309e-002	-2.080197e-001
1.880485759703444e-001	-2.080197e-001	5.648464e-003	-2.136682e-001
1.890485759703444e-001	-2.136682e-001	-5.179979e-002	-1.618684e-001
1.900485759703444e-001	-1.618684e-001	-9.220286e-002	-6.966557e-002
1.910485759703444e-001	-6.966557e-002	2.785245e-002	-9.751801e-002
1.920485759703444e-001	-9.751801e-002	-7.104615e-002	-2.647186e-002
1.930485759703444e-001	-2.647186e-002	-5.559708e-002	2.912522e-002
1.940485759703444e-001	2.912522e-002	1.166446e-001	-8.751935e-002
1.950485759703444e-001	-8.751935e-002	-3.106043e-002	-5.645891e-002
1.960485759703444e-001	-5.645891e-002	-1.228457e-002	-4.417435e-002
1.970485759703444e-001	-4.417435e-002	1.298611e-001	-1.740354e-001
1.980485759703444e-001	-1.740354e-001	-4.863143e-004	-1.735491e-001
1.990485759703444e-001	-1.735491e-001	-2.263806e-001	5.283152e-002
2.000485759703444e-001	5.283152e-002	-2.058036e-001	2.586351e-001
2.010485759703444e-001	2.586351e-001	-6.173688e-002	3.203720e-001
2.020485759703444e-001	3.203720e-001	1.557830e-001	1.645890e-001
2.030485759703444e-001	1.645890e-001	2.472591e-001	-8.267007e-002
2.040485759703444e-001	-8.267007e-002	-5.613938e-003	-7.705613e-002
2.050485759703444e-001	-7.705613e-002	-1.389839e-001	6.192772e-002
2.060485759703444e-001	6.192772e-002	-8.149490e-002	1.434226e-001
2.070485759703444e-001	1.434226e-001	1.350024e-001	8.420195e-003
2.080485759703444e-001	8.420195e-003	2.855777e-001	-2.771575e-001
2.090485759703444e-001	-2.771575e-001	-8.611387e-002	-1.910436e-001
2.100485759703444e-001	-1.910436e-001	-4.179358e-001	2.268922e-001
2.110485759703444e-001	2.268922e-001	-2.083719e-003	2.289759e-001
2.120485759703444e-001	2.289759e-001	1.982111e-001	3.076477e-002
2.130485759703444e-001	3.076477e-002	-1.815852e-001	2.123500e-001
2.140485759703444e-001	2.123500e-001	-1.442244e-001	3.565744e-001
2.150485759703444e-001	3.565744e-001	2.613536e-002	3.304391e-001
2.160485759703444e-001	3.304391e-001	4.087639e-002	2.895627e-001
2.170485759703444e-001	2.895627e-001	1.031533e-001	1.864093e-001
2.180485759703444e-001	1.864093e-001	4.482174e-002	1.415876e-001
2.190485759703444e-001	1.415876e-001	6.712807e-002	7.445952e-002
2.200485759703444e-001	7.445952e-002	2.332645e-001	-1.588050e-001
2.210485759703444e-001	-1.588050e-001	1.900611e-001	-3.488662e-001
2.220485759703444e-001	-3.488662e-001	-8.306637e-002	-2.657998e-001
2.230485759703444e-001	-2.657998e-001	-1.601524e-001	-1.056474e-001
2.240485759703444e-001	-1.056474e-001	-6.778250e-002	-3.786487e-002
2.250485759703444e-001	-3.786487e-002	-3.277912e-002	-5.085744e-003
2.260485759703444e-001	-5.085744e-003	1.426764e-001	-1.477622e-001
2.270485759703444e-001	-1.477622e-001	9.817357e-002	-2.459358e-001
2.280485759703444e-001	-2.459358e-001	-2.285820e-001	-1.735378e-002
2.290485759703444e-001	-1.735378e-002	-1.952071e-001	1.778533e-001
2.300485759703444e-001	1.778533e-001	1.452704e-001	3.258292e-002
2.310485759703444e-001	3.258292e-002	8.167585e-002	-4.909293e-002
2.320485759703444e-001	-4.909293e-002	-2.523591e-002	-2.385702e-002
2.330485759703444e-001	-2.385702e-002	6.572140e-002	-8.957842e-002
2.340485759703444e-001	-8.957842e-002	2.446220e-002	-1.140406e-001
2.350485759703444e-001	-1.140406e-001	8.606156e-002	-2.001022e-001
2.360485759703444e-001	-2.001022e-001	-7.266755e-002	-1.274346e-001
2.370485759703444e-001	-1.274346e-001	-2.745296e-001	1.470950e-001
2.380485759703444e-001	1.470950e-001	-1.827225e-003	1.489222e-001
2.390485759703444e-001	1.489222e-001	2.713387e-001	-1.224165e-001
2.400485759703444e-001	-1.224165e-001	1.474162e-001	-2.698326e-001
2.410485759703444e-001	-2.698326e-001	-3.313959e-003	-2.665187e-001
2.420485759703444e-001	-2.665187e-001	-1.622430e-001	-1.042756e-001
2.430485759703444e-001	-1.042756e-001	-1.475093e-001	4.323371e-002
2.440485759703444e-001	4.323371e-002	-1.849730e-002	6.173101e-002
2.450485759703444e-001	6.173101e-002	4.056983e-002	2.116118e-002
2.460485759703444e-001	2.116118e-002	2.651437e-001	-2.439825e-001
2.470485759703444e-001	-2.439825e-001	6.552690e-002	-3.095094e-001
2.480485759703444e-001	-3.095094e-001	-1.724906e-001	-1.370188e-001
2.490485759703444e-001	-1.370188e-001	7.043162e-002	-2.074504e-001
2.500485759703444e-001	-2.074504e-001	8.692816e-003	-2.161432e-001
2.510485759703444e-001	-2.161432e-001	-1.388615e-001	-7.728171e-002
2.520485759703444e-001	-7.728171e-002	1.903922e-002	-9.632093e-002
2.530485759703444e-001	-9.632093e-002	1.022960e-001	-1.986169e-001
2.540485759703444e-001	-1.986169e-001	-2.663660e-002	-1.719803e-001
2.550485759703444e-001	-1.719803e-001	-2.680496e-001	9.606929e-002
2.560485759703444e-001	9.606929e-002	-1.453664e-001	2.414357e-001
2.570485759703444e-001	2.414357e-001	1.344960e-001	1.069397e-001
2.580485759703444e-001	1.069397e-001	2.619294e-002	8.074676e-002
2.590485759703444e-001	8.074676e-002	2.353266e-002	5.721409e-002
2.600485759703444e-001	5.721409e-002	6.994790e-002	-1.273381e-002
2.610485759703444e-001	-1.273381e-002	-1.055400e-002	-2.179809e-003
2.620485759703444e-001	-2.179809e-003	5.497012e-002	-5.714992e-002
2.630485759703444e-001	-5.714992e-002	3.753466e-002	-9.468459e-002
2.640485759703444e-001	-9.468459e-002	-1.687859e-002	-7.780600e-002
2.650485759703444e-001	-7.780600e-002	-1.257218e-001	4.791584e-002
2.660485759703444e-001	4.791584e-002	2.419540e-002	2.372044e-002
2.670485759703444e-001	2.372044e-002	1.166527e-001	-9.293224e-002
2.680485759703444e-001	-9.293224e-002	-2.355203e-001	1.425881e-001
2.690485759703444e-001	1.425881e-001	-1.620556e-001	3.046437e-001
2.700485759703444e-001	3.046437e-001	2.402843e-001	6.435940e-002
2.710485759703444e-001	6.435940e-002	1.546471e-001	-9.028772e-002
2.720485759703444e-001	-9.028772e-002	-1.170772e-001	2.678944e-002
2.730485759703444e-001	2.678944e-002	-6.321714e-002	9.000658e-002
2.740485759703444e-001	9.000658e-002	-3.937917e-002	1.293858e-001
2.750485759703444e-001	1.293858e-001	-5.464548e-002	1.840312e-001
2.760485759703444e-001	1.840312e-001	7.092159e-002	1.131096e-001
2.770485759703444e-001	1.131096e-001	4.528094e-002	6.782870e-002
2.780485759703444e-001	6.782870e-002	-3.853467e-002	1.063634e-001
2.790485759703444e-001	1.063634e-001	1.601695e-001	-5.380616e-002
2.800485759703444e-001	-5.380616e-002	1.464819e-001	-2.002880e-001
2.810485759703444e-001	-2.002880e-001	-2.235242e-001	2.323618e-002
2.820485759703444e-001	2.323618e-002	-1.200088e-001	1.432449e-001
2.830485759703444e-001	1.432449e-001	8.035243e-002	6.289250e-002
