time	V(3)	V(6)
Step Information: Voutoff=0  (Run: 1/9)
6.135459930621894e-003	7.504525e-001	1.117651e+001
6.145225555621894e-003	7.894243e-001	1.161105e+001
6.154991180621894e-003	8.254218e-001	1.201315e+001
6.164756805621893e-003	8.583097e-001	1.238131e+001
6.174522430621893e-003	8.879641e-001	1.271414e+001
6.184288055621893e-003	9.142735e-001	1.301038e+001
6.194053680621893e-003	9.371387e-001	1.326893e+001
6.203819305621893e-003	9.564738e-001	1.348881e+001
6.213584930621892e-003	9.722059e-001	1.366920e+001
6.223350555621892e-003	9.842759e-001	1.380941e+001
6.233116180621892e-003	9.926383e-001	1.390890e+001
6.242881805621892e-003	9.972617e-001	1.396730e+001
6.252647430621892e-003	9.981286e-001	1.398446e+001
6.262413055621891e-003	9.952359e-001	1.396030e+001
6.272178680621891e-003	9.885942e-001	1.389480e+001
6.281944305621891e-003	9.782287e-001	1.378827e+001
6.291709930621891e-003	9.641784e-001	1.364115e+001
6.301475555621891e-003	9.464962e-001	1.345397e+001
6.311241180621890e-003	9.252486e-001	1.322742e+001
6.321006805621890e-003	9.005156e-001	1.296237e+001
6.330772430621890e-003	8.723903e-001	1.265982e+001
6.340538055621890e-003	8.409785e-001	1.232090e+001
6.350303680621889e-003	8.063985e-001	1.194688e+001
6.360069305621889e-003	7.687804e-001	1.153919e+001
6.369834930621889e-003	7.282658e-001	1.109934e+001
6.379600555621889e-003	6.850071e-001	1.062900e+001
6.389366180621889e-003	6.391672e-001	1.012994e+001
6.399131805621888e-003	5.909188e-001	9.604025e+000
6.408897430621888e-003	5.404432e-001	9.053248e+000
6.418663055621888e-003	4.879306e-001	8.479678e+000
6.428428680621888e-003	4.335785e-001	7.885473e+000
6.438194305621888e-003	3.775915e-001	7.272870e+000
6.457725555621887e-003	2.615612e-001	6.001759e+000
6.477256805621887e-003	1.415849e-001	4.685479e+000
6.496788055621886e-003	1.946718e-002	3.343876e+000
6.506553680621886e-003	-4.182120e-002	2.669919e+000
6.516319305621886e-003	-1.029551e-001	1.997297e+000
6.526084930621886e-003	-1.637043e-001	1.328707e+000
6.535850555621886e-003	-2.238396e-001	6.673900e-001
6.545616180621885e-003	-2.832113e-001	2.229052e-002
6.552512737570667e-003	-3.245938e-001	-4.260077e-001
6.556396211724938e-003	-3.476054e-001	-6.849319e-001
6.561073368227571e-003	-3.749995e-001	-9.974294e-001
6.565912729491833e-003	-4.029879e-001	-1.309886e+000
6.571927534994291e-003	-4.371509e-001	-1.688729e+000
6.581693159994291e-003	-4.912920e-001	-2.288692e+000
6.591458784994291e-003	-5.437403e-001	-2.869946e+000
6.601224409994290e-003	-5.941451e-001	-3.428947e+000
6.610990034994290e-003	-6.423164e-001	-3.963683e+000
6.620755659994290e-003	-6.880732e-001	-4.472158e+000
6.630521284994290e-003	-7.312433e-001	-4.952503e+000
6.640286909994290e-003	-7.716640e-001	-5.402907e+000
6.650052534994289e-003	-8.091834e-001	-5.821686e+000
6.659818159994289e-003	-8.436601e-001	-6.207264e+000
6.669583784994289e-003	-8.749645e-001	-6.558194e+000
6.679349409994289e-003	-9.029787e-001	-6.873156e+000
6.689115034994289e-003	-9.275973e-001	-7.150967e+000
6.698880659994288e-003	-9.487276e-001	-7.390582e+000
6.708646284994288e-003	-9.662901e-001	-7.591101e+000
6.718411909994288e-003	-9.802186e-001	-7.751769e+000
6.728177534994288e-003	-9.904609e-001	-7.871983e+000
6.737943159994288e-003	-9.969782e-001	-7.951290e+000
6.747708784994287e-003	-9.997461e-001	-7.989393e+000
6.757474409994287e-003	-9.987542e-001	-7.986149e+000
6.767240034994287e-003	-9.940062e-001	-7.941571e+000
6.777005659994287e-003	-9.855199e-001	-7.855827e+000
6.786771284994287e-003	-9.733274e-001	-7.729241e+000
6.796536909994286e-003	-9.574745e-001	-7.562290e+000
6.806302534994286e-003	-9.380208e-001	-7.355602e+000
6.816068159994286e-003	-9.150396e-001	-7.109958e+000
6.825833784994286e-003	-8.886174e-001	-6.826283e+000
6.835599409994285e-003	-8.588537e-001	-6.505645e+000
6.845365034994285e-003	-8.258604e-001	-6.149252e+000
6.855130659994285e-003	-7.897617e-001	-5.758450e+000
6.864896284994285e-003	-7.506936e-001	-5.334710e+000
6.874661909994285e-003	-7.088029e-001	-4.879632e+000
6.884427534994284e-003	-6.642476e-001	-4.394933e+000
6.894193159994284e-003	-6.171951e-001	-3.882446e+000
6.903958784994284e-003	-5.678227e-001	-3.344118e+000
6.913724409994284e-003	-5.163162e-001	-2.782007e+000
6.923490034994284e-003	-4.628694e-001	-2.198300e+000
6.933255659994283e-003	-4.076838e-001	-1.595478e+000
6.943021284994283e-003	-3.509689e-001	-9.783099e-001
6.952786909994283e-003	-2.929433e-001	-3.499076e-001
6.962366966287830e-003	-2.350432e-001	2.850136e-001
6.967249846549273e-003	-2.051639e-001	6.189767e-001
6.973034210867356e-003	-1.694550e-001	1.015718e+000
6.979128564052638e-003	-1.315834e-001	1.431922e+000
6.988894189052638e-003	-7.055000e-002	2.103176e+000
6.998659814052638e-003	-9.305032e-003	2.776844e+000
7.018191064052637e-003	1.130501e-001	4.123752e+000
7.037722314052637e-003	2.336929e-001	5.453529e+000
7.057253564052637e-003	3.508087e-001	6.746269e+000
7.067019189052636e-003	4.074907e-001	7.372654e+000
7.076784814052636e-003	4.626361e-001	7.982557e+000
7.086550439052636e-003	5.160372e-001	8.573685e+000
7.096316064052636e-003	5.674930e-001	9.143812e+000
7.106081689052636e-003	6.168100e-001	9.690794e+000
7.115847314052635e-003	6.638024e-001	1.021257e+001
7.125612939052635e-003	7.082935e-001	1.070718e+001
7.135378564052635e-003	7.501157e-001	1.117276e+001
7.145144189052635e-003	7.891116e-001	1.160756e+001
7.154909814052634e-003	8.251346e-001	1.200994e+001
7.164675439052634e-003	8.580489e-001	1.237839e+001
7.174441064052634e-003	8.877307e-001	1.271151e+001
7.184206689052634e-003	9.140684e-001	1.300807e+001
7.193972314052634e-003	9.369627e-001	1.326694e+001
7.203737939052633e-003	9.563275e-001	1.348714e+001
7.213503564052633e-003	9.720899e-001	1.366786e+001
7.223269189052633e-003	9.841906e-001	1.380841e+001
7.233034814052633e-003	9.925841e-001	1.390824e+001
7.242800439052633e-003	9.972387e-001	1.396698e+001
7.252566064052632e-003	9.981369e-001	1.398449e+001
7.262331689052632e-003	9.952755e-001	1.396067e+001
7.272097314052632e-003	9.886650e-001	1.389552e+001
7.281862939052632e-003	9.783304e-001	1.378933e+001
7.291628564052632e-003	9.643106e-001	1.364254e+001
7.301394189052631e-003	9.466584e-001	1.345569e+001
7.311159814052631e-003	9.254402e-001	1.322947e+001
7.320925439052631e-003	9.007359e-001	1.296474e+001
7.330691064052631e-003	8.726383e-001	1.266249e+001
7.340456689052631e-003	8.412535e-001	1.232387e+001
7.350222314052630e-003	8.066993e-001	1.195014e+001
7.359987939052630e-003	7.691059e-001	1.154272e+001
7.369753564052630e-003	7.286148e-001	1.110313e+001
7.379519189052630e-003	6.853784e-001	1.063304e+001
7.389284814052629e-003	6.395594e-001	1.013421e+001
7.399050439052629e-003	5.913302e-001	9.608513e+000
7.408816064052629e-003	5.408725e-001	9.057935e+000
7.418581689052629e-003	4.883760e-001	8.484545e+000
7.428347314052629e-003	4.340384e-001	7.890503e+000
7.438112939052628e-003	3.780642e-001	7.278044e+000
7.457644189052628e-003	2.620540e-001	6.007161e+000
7.477175439052628e-003	1.420904e-001	4.691029e+000
7.496706689052627e-003	1.997783e-002	3.349490e+000
7.506472314052627e-003	-4.131087e-002	2.675532e+000
7.516237939052627e-003	-1.024470e-001	2.002889e+000
7.526003564052627e-003	-1.632003e-001	1.334253e+000
7.535769189052626e-003	-2.233417e-001	6.728549e-001
7.545534814052626e-003	-2.827218e-001	2.759721e-002
7.552411323820878e-003	-3.239905e-001	-4.193886e-001
7.556326999982232e-003	-3.471964e-001	-6.803269e-001
7.561047044847553e-003	-3.748469e-001	-9.957017e-001
7.565799041937292e-003	-4.023371e-001	-1.302673e+000
7.571760103717893e-003	-4.362070e-001	-1.678266e+000
7.581525728717893e-003	-4.903761e-001	-2.278543e+000
7.591291353717893e-003	-5.428578e-001	-2.860162e+000
7.601056978717893e-003	-5.932992e-001	-3.419562e+000
7.610822603717892e-003	-6.415104e-001	-3.954731e+000
7.620588228717892e-003	-6.873100e-001	-4.463673e+000
7.630353853717892e-003	-7.305259e-001	-4.944515e+000
7.640119478717892e-003	-7.709950e-001	-5.395447e+000
7.649885103717891e-003	-8.085654e-001	-5.814781e+000
7.659650728717891e-003	-8.430954e-001	-6.200941e+000
7.669416353717891e-003	-8.744552e-001	-6.552476e+000
7.679181978717891e-003	-9.025267e-001	-6.868066e+000
7.688947603717891e-003	-9.272044e-001	-7.146523e+000
7.698713228717890e-003	-9.483951e-001	-7.386801e+000
7.708478853717890e-003	-9.660194e-001	-7.587997e+000
7.718244478717890e-003	-9.800107e-001	-7.749353e+000
7.728010103717890e-003	-9.903165e-001	-7.870265e+000
7.737775728717890e-003	-9.968980e-001	-7.950276e+000
7.747541353717889e-003	-9.997303e-001	-7.989088e+000
7.757306978717889e-003	-9.988029e-001	-7.986553e+000
7.767072603717889e-003	-9.941192e-001	-7.942683e+000
