Freq.	V(a)
5.75439937337152e+002	(-2.00000007006959e+001dB,1.79977212579598e+002°)
5.88843655355584e+002	(-2.00000007337185e+001dB,1.79976681792444e+002°)
6.02559586074353e+002	(-2.00000007682978e+001dB,1.79976138641673e+002°)
6.16595001861477e+002	(-2.00000008045065e+001dB,1.79975582839300e+002°)
6.30957344480188e+002	(-2.00000008424216e+001dB,1.79975014090630e+002°)
6.45654229034650e+002	(-2.00000008821237e+001dB,1.79974432094107e+002°)
6.60693448007591e+002	(-2.00000009236969e+001dB,1.79973836541149e+002°)
6.76082975391976e+002	(-2.00000009672295e+001dB,1.79973227115985e+002°)
6.91830970918931e+002	(-2.00000010128137e+001dB,1.79972603495492e+002°)
7.07945784384132e+002	(-2.00000010605460e+001dB,1.79971965349017e+002°)
7.24435960074984e+002	(-2.00000011105279e+001dB,1.79971312338209e+002°)
7.41310241300911e+002	(-2.00000011628657e+001dB,1.79970644116832e+002°)
7.58577575029177e+002	(-2.00000012176699e+001dB,1.79969960330587e+002°)
7.76247116628685e+002	(-2.00000012750568e+001dB,1.79969260616922e+002°)
7.94328234724275e+002	(-2.00000013351484e+001dB,1.79968544604842e+002°)
8.12830516164092e+002	(-2.00000013980721e+001dB,1.79967811914707e+002°)
8.31763771102664e+002	(-2.00000014639611e+001dB,1.79967062158036e+002°)
8.51138038202369e+002	(-2.00000015329552e+001dB,1.79966294937300e+002°)
8.70963589956073e+002	(-2.00000016052013e+001dB,1.79965509845709e+002°)
8.91250938133738e+002	(-2.00000016808523e+001dB,1.79964706466998e+002°)
9.12010839355902e+002	(-2.00000017600683e+001dB,1.79963884375206e+002°)
9.33254300796983e+002	(-2.00000018430177e+001dB,1.79963043134451e+002°)
9.54992586021428e+002	(-2.00000019298763e+001dB,1.79962182298697e+002°)
9.77237220955802e+002	(-2.00000020208288e+001dB,1.79961301411519e+002°)
9.99999999999991e+002	(-2.00000021160674e+001dB,1.79960400005860e+002°)
1.02329299228075e+003	(-2.00000022157946e+001dB,1.79959477603784e+002°)
1.04712854805089e+003	(-2.00000023202218e+001dB,1.79958533716225e+002°)
1.07151930523760e+003	(-2.00000024295706e+001dB,1.79957567842721e+002°)
1.09647819614318e+003	(-2.00000025440725e+001dB,1.79956579471157e+002°)
1.12201845430195e+003	(-2.00000026639708e+001dB,1.79955568077487e+002°)
1.14815362149687e+003	(-2.00000027895198e+001dB,1.79954533125458e+002°)
1.17489755493952e+003	(-2.00000029209860e+001dB,1.79953474066328e+002°)
1.20226443461740e+003	(-2.00000030586478e+001dB,1.79952390338572e+002°)
